ID	words	meaning	lx
6515	paintbrush	画笔	 Hand the paintbrush up to Father on the ladder./r/n     把漆刷递上去交给梯子上的父亲。/r/n
6516	painter	n. 画家	 He is a portrait painter./r/n     他是一个肖像画家。/r/n\n The painter stretched the canvas on a frame./r/n     画家把油画布紧绷在画框上。/r/n
6517	painting	n. 水彩画,油画	 There are three paintings on the wall./r/n     墙上有三幅画。/r/n\n That is an oil painting of a landscape in spring./r/n     那是一幅描绘春天景色的油画。/r/n
6518	pair	n. 双,对,副<br>\nv. 使...成对	 The teacher paired us off for the purpose of the exercise./r/n     为了做练习，老师把我们分成一对一对。/r/n\n This pair of trousers is too tight for me./r/n     这条裤子我穿太紧了。/r/n
6519	pairs	对	 Cuff-links are only sold in pairs./r/n     袖扣论对卖./r/n\n The number of electron pairs an atom can share with other atoms./r/n     共用电子对数，共价一个原子与其他原子共用的电子的对数/r/n
6520	Pakistani	a. 巴基斯坦的<br>\nn. 巴基斯坦人	
6521	palatable	a. 美味的,愉快的	 The truth is not always very palatable./r/n     事实真相并非尽如人意./r/n
6522	pale	n. 尖木桩(前哨)<br>\na. 苍白的<br>\nv. 使苍白<br>\nvi. 变得苍白,变得暗淡	 She paled at the sight of the blood./r/n     她一看到血就脸色苍白。/r/n\n All other anxieties paled into insignificance besides the possibility of war./r/n     和可能打仗相比，所有其他忧虑都变得微不足道了。/r/n
6523	palette	n. 调色板,颜料	 Developer can install ole control onto the palette or choose from among the ole control include in delphi2.0./r/n     开发者们可以把OLE控制安装到调色板上或从包括在Delphi2。0中的OLE控制中选择。/r/n\n A limited palette./r/n     有限的色调/r/n
6524	palm	n. 手掌<br>\nn. 棕榈树<br>\nvt. 把...藏于手中	 The goalkeeper just managed to palm the ball over the crossbar./r/n     守门员用手掌将球托出了球门的横木。/r/n\n He knew the passage like the palm of his hand./r/n     他对这条航线了如指掌。/r/n
6525	palpitate	v. 悸动,心跳,发抖	
6526	pamper	v. 放纵,使吃饱,使过量	 They pamper themselves after a hard day at work./r/n     他们劳累工作一日之后放纵自己。/r/n\n The pampered cat refused to eat food without meat./r/n     这只被娇惯的猫拒绝吃没有肉的饭。/r/n
6527	pamphlet	n. 小册子	 He gave me a pamphlet for my call numbers./r/n     他给了我一个小册子记录电话号码。/r/n\n The pamphlet contains information of political opinion./r/n     这本小册子含有关于政治主张的资料。/r/n
6528	panacea	n. 万灵药	
6529	pancreas	n. 胰脏	 The pancreas can produce substances which help in the digestion of food./r/n     胰脏能产生助消化的物质。/r/n
6530	pane	n. 窗玻璃,方框,方格<br>\nv. 嵌窗玻璃	 The pane of glass was broken by a football./r/n     一块玻璃被足球打碎了。/r/n\n A strip of wood or metal separating and holding panes of glass in a window./r/n     窗格条窗户上用来隔开和固定窗玻璃片的木条或者金属条/r/n
6531	panel	n. 面板,嵌板,仪表盘,座谈小组<br>\nv. 嵌镶<br>\n专门问题小组	 This ceiling has a carved panel./r/n     这块天花板带有刻花镶板。/r/n\n The panel was chosen to take part in discussion./r/n     那个专门小组被选中参加讨论。/r/n
6532	panorama	a. 全景的,全貌的<br>\nn. 全景	
6533	panoramic	a. 全景的	
6534	pant	n. 喘息,悸动<br>\nv. 喘息,渴望	 We began to pant before we reached the top of hill./r/n     我们在到达山顶之前已经在喘气了。/r/n\n He panted out the message./r/n     他上气不接下气地说出此事。/r/n
6535	panther	n. 豹	 A panther was killed./r/n     一头美洲狮被杀了。/r/n
6536	pantry	n. 餐具室,食品室	 He wanted to find some wine in the pantry./r/n     他想在餐具室里找到一些酒。/r/n\n No food is left in the pantry except some bread./r/n     食品柜里除了一些面包其它什麽也不剩。/r/n
6537	pants	n. 裤子	 She wears the pants in her family./r/n     她是家里掌权的人。/r/n\n This sport jacket will match those pants nicely./r/n     这件运动衫和那条短裤很相配。/r/n
6538	paper money	n. 纸币, 钞票	 Because large sum of metal money is heaved and inconvenient to handle, government issue paper money./r/n     因为大量金属货币使用起来笨重不方便，政府便发行了纸币。/r/n
6539	paperback	n. 纸封面本(普及本,平装书)	
6540	paperweight	n. 镇纸,压纸器	
6541	papule	n. 丘疹,小突起	
6542	par	n. 标准,票面价值,平均数量<br>\na. 票面的,平常的,标准的	 As a writer she was on a par with the great novelists./r/n     她是与伟大小说家齐名的作家。/r/n\n He is the elder statesman par excellence./r/n     他是最优秀的年长的国务活动家./r/n
6543	parachute	n. 降落伞<br>\nv. 跳伞	 When his parachute failed he thought he was a goner./r/n     他的降落伞打不开了, 他想他算完了./r/n\n Our first parachute jump was an exhilarating experience./r/n     我们第一次跳伞感到兴奋莫名./r/n
6544	parade	n. 游行<br>\nv. 检阅,游行	 The strikers paraded through the city center./r/n     罢工队伍游行穿过市中心。/r/n\n The Olympic Games begin with a parade of all the competing nations./r/n     奥运会以参赛各国的列队行进开始。/r/n
6545	paradox	n. 似非而是的隽语,自相矛盾的话	 It is a paradox that such a rich country should have so many poor people living in it./r/n     如此富足的国家竟有如此多的穷人, 这是个矛盾的现实./r/n\n Paradox and irony are characteristics of her style./r/n     她善於运用似非而是的隽语和反语./r/n
6546	paragraph	n. 段落<br>\nvt. 将...分段	 Look at the second paragraph on page fifteen./r/n     请看第十五页的第二段。/r/n\n The editor struck out the whole paragraph./r/n     编辑把整段全删掉了./r/n
6547	parallel	a. 平行的<br>\nad. 平行地<br>\nn. 平行线<br>\nvt. 与...平行	 My experience in this matter is parallel to yours./r/n     在这件事情上，我的经验和你的类似。/r/n\n The railway lines run parallel to the road./r/n     铁路线和那条道路平行。/r/n
6548	paralyse	vt. 使...无力(关闭)	 The electricity failure paralysed the water supply./r/n     停电使水供应陷于瘫痪。/r/n\n She is paralysed in both arms./r/n     她的两只胳膊麻痹。/r/n
6549	paralysis	n. 瘫痪	 A person affected with paralysis./r/n     瘫痪病者，麻痹患者患麻痹症的人/r/n\n The disease results in creeping paralysis./r/n     这种病可发展成脊髓痨./r/n
6550	paralyze	v. 使...瘫痪,使...麻痹	 The electricity failure paralyzed the water supply./r/n     停电使水供应陷于瘫痪。/r/n\n The accident left her paralyzed in both legs./r/n     事故后她的腰部以下瘫痪了。/r/n
6551	parameter	n. 参数,参量	 We have to work within the parameters of time and budget./r/n     我们工作受时间和财力所限./r/n\n Spend by each department have to fall within certain parameter./r/n     每个部门的开支必须属于确定的系数之内。/r/n
6552	paramount	派拉蒙(美电影公司)<br>\n极为重要的	 The reduction of unemployment should be paramount./r/n     降低失业率应是头等大事。/r/n\n This matter is of paramount importance./r/n     此事至关重要。/r/n
6553	paranoia	n. [心]妄想狂, 偏执狂	
6554	paraphernalia	n. 随身用具(附件)	 All my fishing paraphernalia is in the car./r/n     我的鱼具都在汽车里./r/n\n He has all the music paraphernalia you can buy./r/n     你能买到的音乐相关产品，他全都有。/r/n
6555	paraphrase	n. 释义,解述,改写<br>\nv. 改写,解述	 Paraphrase the following passage into two paragraphs./r/n     把下面这一节文章意译成两段。/r/n
6556	parcel	n. 包裹<br>\nv. 打包,捆扎<br>\nvt. 打包	 He parceled up the books./r/n     他把书打成了包。/r/n\n She sent me the present by parcel post./r/n     她用邮包把礼物寄给了我。/r/n
6557	pardon	n. 原谅,赦免<br>\nv. 宽恕,原谅	 I beg your pardon./r/n     对不起；请原谅。/r/n\n If I have offended you, I ask your pardon./r/n     如有冒犯之处，请多多原谅。/r/n
6558	parent	n. 父母,父母亲,根源	 My parents have gone to Hangzhou for holiday./r/n     我父母已经去杭州度假了。/r/n\n Being a parent can be hard work./r/n     当父母可是件辛苦的事。/r/n
6559	parentheses	圆括号	
6560	parenthesis	n. 括弧,插入语,附带	 The statistics were given in parenthesis./r/n     统计数字在括号里./r/n\n One have to dismount from an idea and get into saddle again at every parenthesis./r/n     每当遇上一个括号，就叫人不得不从一种想法下马，然后再次骑上马鞍。/r/n
6561	Paris	n. 巴黎	 Paris is the capital of France./r/n     巴黎是法国的首都。/r/n\n First prize in the raffle is a holiday for two in Paris./r/n     抽奖销售的头奖是两个人到巴黎度假旅游。/r/n
6562	parity	n. 同等,同格,同位	
6563	park	n. 公园,停车处<br>\nv. 停车,置于,停车	 I often take my children to play in the park./r/n     我经常带我的孩子们去公园玩。/r/n\n You are not allowed to park here./r/n     此处不准停车。/r/n
6564	parliament	n. 议会,国会	 The Conservative Party won 230 seats in Parliament./r/n     保守党在议会获得了230 个席位。/r/n\n The President announced the dissolution of Parliament./r/n     总统宣布了议会解散。/r/n
6565	parlor	n. 客厅,会客室,店	 My sister goes to a beauty parlor once a week./r/n     我妹妹每周去一次美容院。/r/n\n Rock music blasted full from the parlor./r/n     摇滚乐声震屋宇，从客厅传来。/r/n
6566	parody	n. 打油诗文,诙谐的改编诗文,拙劣的模仿<br>\nv. 拙劣模仿,作模仿诗文	 The trial was a parody of justice./r/n     这次审判是对公正的一次拙劣的模拟/r/n\n An exaggerated or grotesque imitation, such as a parody of a literary work./r/n     模仿一种夸张或怪诞的模仿，如对一个文学作品的滑稽模仿/r/n
6567	parrot	n. 鹦鹉<br>\nv. 学舌	 He talks like a parrot and just repeats what he heard./r/n     他只是鹦鹉学舌，拾人牙慧罢了。/r/n\n This parrot is an amazing mimic./r/n     这只鹦鹉很会学舌。/r/n
6568	parse	v.&n. 从语法上分析	
6569	parser	语法分析器	
6570	part	n. 部份,零件,角色<br>\nv. 分开,分离,分配<br>\nad. 部份地,有几分	 I hope we can part as friends./r/n     我希望我们和和气气地分手。/r/n\n This piece of glass seems to be part of a lamp./r/n     这片玻璃似乎是一盏灯的一部分。/r/n
6571	partake	v. 分担,参与,有几分	 His manner partakes of insolence./r/n     他的态度带有几分傲慢。/r/n\n Will you partake of a drink with us?/r/n     和我们一同喝一杯好吗？/r/n
6572	partiality	n. 偏袒,偏心	
6573	partially	ad. 部份地,一部份地,不公平地	 He was only partially to blame for the accident./r/n     他对事故只应负部分责任。/r/n\n The maneuvering of an aircraft partially into a crosswind to compensate for drift./r/n     飞机侧航部分操纵飞行器使之进入逆风以抵消滑行/r/n
6574	participant	a. 参与的<br>\nn. 参加者,参与者	 Select the place where you want to point the camera(each participant, whiteboard, etc.)./r/n     选择想要瞄准的摄像机位置（每一位参加者，白板等）。/r/n\n A participant in a feud./r/n     结下世仇的人结下世仇的参与者/r/n
6575	participate	v. 参加,分享,参与	
6576	participation	n. 参加,参与	 We win the game because of his participation./r/n     由于他的参与，我们赢了比赛。/r/n\n His participation is not welcomed./r/n     他的参与不受欢迎。/r/n
6577	participator	a. 参加的<br>\nn. 参加者	
6578	participle	n. 分词	
6579	particularize	v. 详细说明,列举,大书特书	
6580	particulars	n. 事实,细节	
6581	particulate	n. 微粒子	 Pulverized particulate matter ejected by volcanic eruption./r/n     火山灰火山爆发喷射出来的粉末状颗粒物质/r/n
6582	parting	n. 分别,分歧处<br>\na. 离别的,逝去的<br>\nvbl. 分开,分配	 He remembered her parting kiss in the following years./r/n     在以后的岁月中，他一直记着她临别时的一吻。/r/n\n They exchanged a final kiss before parting./r/n     他们最後相互亲吻而分离./r/n
6583	partisan	n. 党羽,同党的人,游击队员<br>\na. 效忠的,献身的,盲目推崇的	
6584	partition	n. 分割,隔离物,隔墙<br>\nv. 区分,隔开,分割	
6585	partly	ad. 部分地	 What you say is partly true./r/n     你说的有几分是真实的。/r/n\n We are all partly to blame./r/n     我们都必须负一部分责任。/r/n
6586	partner	n. 合作者,搭档<br>\nv. 同...合作,做...的搭档	 Are you sure you want him to be your partner?/r/n     你肯定你想要他作你的终身伴侣吗？/r/n\n The business is owned by two partners./r/n     这家商行为两名合伙人所拥有。/r/n
6587	partnership	n. 合伙,合股	 I enter into partnership with him to do export business./r/n     我与他合伙做出口生意。/r/n\n She worked in partnership with her sister./r/n     她和妹妹合股经营。/r/n
6588	partridge	n.    鹧鸪	 There is a dish of partridge at supper./r/n     晚饭时有一盘鹧鸪做的菜。/r/n
6589	part-time	a. 兼职的, 部分时间的<br>\nad. 部分时间, 兼职地	
6590	parturition	n. 生产,分娩	
6591	party	n. 政党,聚会,开派对	 He was admitted to the Party last year./r/n     他去年入党了。/r/n\n When does the birthday party take place?/r/n     生日庆祝会什么时候举行？/r/n
6592	parvenu	n. 暴发户,新贵	 The parvenu invited guests but they all hung off./r/n     这个暴发户邀请了客人，但是他们都不愿意去。/r/n
6593	pascal	n. 〈计〉PASCAL语言	
6594	pass	n. 途径,通行,及格<br>\nv. 经过,消逝,传递	 I passed the store on my way to the library./r/n     我在去图书馆的路上经过了那家商店。/r/n\n Please show me your monthly bus pass./r/n     请出示公共汽车月票。/r/n
6595	passable	a. 过得去的	 Fairly good; passable./r/n     尚好的，较好的；过得去的/r/n\n Quality barely passable but price unattractive/r/n     质量尚可但价格并不便宜。/r/n
6596	passage	n. 通道,走廊,一段文章	 The bridge is not strong enough to allow the passage of vehicles./r/n     这座桥不够牢固，车辆不能通行。/r/n\n The police kept a clear passage for the traffic./r/n     警方使来往车辆畅通无阻。/r/n
6597	passageway	n. 过道,走廊	
6598	passbook	n. 银行存折	
6599	passenger	n. 乘客,旅客	 The train carries many passengers./r/n     火车载着许多旅客。/r/n\n This is a large passenger airliner./r/n     这是一架大型客机。/r/n
6600	passerby	n. 过路人,行人	 Her queer way of dressing attracted the attention of the passerby./r/n     她古怪的着装方式引起了过路人的注意。/r/n\n The passerby was very grateful to us for directing him when he mistook his way./r/n     这个过路人非常感激我们在他迷路时给他指了路。/r/n
6601	passion	n. 激情,热情	 The poet expressed his burning passion for the woman he loved./r/n     诗人表达了他对所爱的女子火一般的激情。/r/n\n He has a passion for photography./r/n     他对摄影有强烈的爱好。/r/n
6602	passionate	a. 热情的,热烈的,易怒的	 His passionate speech had an effect on our emotions./r/n     他的热情的演讲打动了我们的感情。/r/n\n The novelist characterizes his heroine as capricious and passionate./r/n     这位小说家把女主人公刻画成反覆无常而又多情的人./r/n
6603	passionately	ad. 多情地,热烈地	 He is passionately opposed to racial discrimination./r/n     他极端反对种族歧视./r/n\n She is passionately fond of tennis./r/n     她热爱网球./r/n
6604	passive	a. 被动的,消极的<br>\nn. 被动性	 He played a passive role in the marriage./r/n     他在婚姻中扮演了一个被动的角色。/r/n\n Passive character, attitude, quality, or behavior./r/n     消极主义消极被动的性格、态度、品质或行为/r/n
6605	passivity	n. 被动性（尤指无行动,迟钝,顺从）	
6606	passport	n. 护照	 I hold a French passport./r/n     我持有法国护照。/r/n\n The only passport to success is hard work./r/n     通往成功的唯一途径是努力奋斗。/r/n
6607	password	n. 口令	
6608	past	a. 过去的<br>\nad. 过<br>\nn. 过去<br>\nprep. 过,经过	 Our country has a glorious past./r/n     我们的国家有一段光辉的历史。/r/n\n We drove past the house./r/n     我们开车经过那座房子。/r/n
6609	pasta	n. 生面团。意大利通心粉。	 Medium-sized tubular pasta./r/n     意大利通心粉中等大小的管状面食/r/n\n Large-sized tubes of pasta stuffed with meat or cheese and baked in a tomato or cream sauce./r/n     烤空心粉塞肉或干酪并加番茄或奶油汁烘烤而成的大空心粉条/r/n
6610	paste	n. 糊,浆糊<br>\nv. 粘,贴	 Would you like some tomato paste?/r/n     你要西红柿酱吗？/r/n\n He pasted up a notice on the wall./r/n     他把一张布告贴在墙上。/r/n
6611	pastel	n. 粉蜡笔,粉蜡笔画,漫笔作画	 She works in (ie uses) pastels./r/n     她用彩色粉笔作画./r/n\n Pastel colours are restful to the eye./r/n     清淡柔和的颜色可以养目。/r/n
6612	pasteurization	n. 巴氏消毒法	
6613	pasteurize	v. 以高热杀菌,消毒	
6614	pastiche	n. 混成曲, 模仿画	 He has a gift for pastiche./r/n     他有模仿他人作品的天赋./r/n
6615	pastime	n. 消遣,娱乐	 My favorite pastime is reading./r/n     我最喜爱的消遣是读书。/r/n\n Writing is a solitary pastime./r/n     写作是独自一人的消遣./r/n
6616	pastor	n. 牧师	 A governing body of pastors and elders in certain Reformed churches, having jurisdiction over local churches./r/n     长老监督会一些改革派教会的由牧师和长老组成的管理机构，有对地区教会的裁决权/r/n
6617	pastoral	n. 牧歌,田园诗<br>\na. 牧人的,田园生活的,牧师的	 The picture showed a charming pastoral scene of cows drinking from a stream./r/n     这幅画表现了牛在溪边饮水的迷人的田园风光。/r/n\n The priest makes pastoral visits every Tuesday./r/n     牧师每星期二作履行神职的访问。/r/n
6618	pastry	n. 面粉糕饼,馅饼皮	 You eat too much pastry./r/n     你吃的点心太多了。/r/n\n She can make Danish pastry./r/n     她会做丹麦点心。/r/n
6619	pasty	a. 浆糊的,苍白的	
6620	pat	n. 轻拍<br>\nv. 轻拍,拍<br>\nad. 适时,正好,恰好	 Snowflakes were patting against the window./r/n     雪花轻轻拍打着窗户。/r/n\n The government stood pat in its policy./r/n     政府坚持自己的政策。/r/n
6621	patch cord	接插线	
6622	patched	a. 打补丁的	
6623	patchwork	n. 修补工作(拼凑的东西,混杂物)	 A small piece of cloth used for patchwork./r/n     补钉一小片用来修补用的布/r/n
6624	patchy	a. 斑驳的,不调和的,不完整的,拼凑的	 A horse with patchy markings of white and another color./r/n     杂色马，花马一匹有白色或另外一种色斑的马/r/n\n My knowledge of science is patchy./r/n     我的科学知识只是一鳞半爪。/r/n
6625	pate	n. 头,脑袋,头脑	 He has a shiny bald pate./r/n     他是个亮光光的秃顶。/r/n\n Professor Pate, the famous phrenologist./r/n     著名的颅相学家佩特师傅./r/n
6626	patent	n. 专利权,执照,专利品<br>\na. 专利的,显著的,新奇的<br>\nv. 取得...的专利权,请准专利	 He got a patent for this invention./r/n     他获得了这项发明的专利权。/r/n\n The patent runs out in three years time./r/n     这项专利期限为3年。/r/n
6627	patent office	专利局	
6628	paternalism	n. 家长式管理,家长式领导	
6629	paternity	n. 父系,父系后裔	 Paternity case; paternity suit./r/n     父亲血缘案例；父亲血缘诉讼案/r/n
6630	path	n. 路线,轨道,路程,小路,小径	 Their daily trips through the jungle have made a path in the thick undergrowth./r/n     他们每天往返穿过丛林，已在茂密的矮丛中踩出了一条小路。/r/n\n The path grew more obscure in the fading light./r/n     小径在渐渐消失的光线下变得更暗了。/r/n
6631	pathetic	a. 悲哀的,可怜的,感伤的	 His tears were pathetic to witness./r/n     他的眼泪引起在场人的怜悯。/r/n\n We saw the pathetic sight of starving children./r/n     我们看到挨饿的儿童悲惨可怜的样子。/r/n
6632	pathfinder	n. 探路者,控索者	
6633	pathogen	n. 病原体	 Inherited, acquired, or induced resistance to infection by a specific pathogen./r/n     免疫力遗传的、后天的或诱发的对特定的病原感染的抵抗能力/r/n
6634	pathogenic	a. 致病的	
6635	pathologic	a. 病理的	
6636	pathological	a. 病理学的	 A localized pathological change in a bodily organ or tissue./r/n     机能障碍，器官损害身体内器官或组织局部的病理转变/r/n\n The pathological condition in which such painful masses occur./r/n     痔疾这些令人疼痛的病块出现的病理状态/r/n
6637	pathologically	ad. 病理地	
6638	pathology	n. 病理学	
6639	pathophysiology	n. 病理生理学	
6640	pathos	n. 感伤,悲怅,悲情	 The play is notable for the pathos of its final scene./r/n     该剧以最后一场的哀婉动人而著称。/r/n
6641	pathway	n. 路,径	 The pathway was rough and covered with little stones./r/n     这条路高低不平，铺满了小石头。/r/n
6642	patience	n. 耐心	 His rudeness was beyond my patience./r/n     他的粗暴使我无法忍受。/r/n\n I must tell you that his patience has its limit./r/n     我必须告诉你，他的耐心是有限的。/r/n
6643	patient	a. 有耐心的,能忍耐的<br>\nn. 病人	 I think I am quite a patient person./r/n     我认为我是一个相当有耐心的人。/r/n\n The patient finally died from cancer./r/n     那位病人最终死于癌症。/r/n
6644	patiently	ad. 耐心地	 The children waited patiently in expectation of (ie expecting) the magician./r/n     孩子们耐心地等待著魔术师./r/n\n He was angry, nevertheless he listened patiently./r/n     他生气了，但他还是耐心地听我说。/r/n
6645	patina	n. 绿金秀,绿青,古色	
6646	patio	n. 天井(庭院)	 A veranda or roofed patio./r/n     门廊走廊或有顶棚的天井/r/n\n An open, often paved area adjacent to a house serving as an outdoor living space; a patio./r/n     内院，庭院紧邻房间的一块开阔、通常铺过的区域，作为室外活动场所；庭院/r/n
6647	patois	n. 方言,土语	 He speaks the local patois./r/n     他会说当地方言./r/n
6648	patriarch	n. 创办人,家长,元老	 Her patriarch is strict with her./r/n     她的家长对她要求很严。/r/n\n The patriarch of the herd./r/n     群众里年高德劭的人/r/n
6649	patriarchal	a. 家长的,族长的,由族长统治的	
6650	patriarchy	n. 家长,父系社会	
6651	patrician	a. 贵族的,显贵的<br>\nn. 贵族	
6652	patricide	n. 弑父	
6653	Patrick	(男名)帕特里克	
6654	patrimony	n. 祖传的财物, <喻>继承物, 遗产	
6655	patriot	n. 爱国者	 She is a patriot to her country./r/n     她热爱她的祖国。/r/n\n He was anxious to show himself patriot./r/n     他急于表明自己是个爱国者。/r/n
6656	patriotic	a. 爱国的	 His patriotic action raised our admiration./r/n     他的爱国行为激起了我们的敬佩。/r/n\n A Japanese battle cry or patriotic cheer./r/n     万岁日本人在进攻时的呐喊或爱国的欢呼；/r/n
6657	patriotism	n. 爱国心,爱国精神	 We are all deeply moved by his patriotism./r/n     我们都被他的爱国精神深深感动了。/r/n\n They criticize their opponents under the cover of patriotism./r/n     他们借口爱国来抨击反对者。/r/n
6658	patron	n. 赞助人,保护人	 This store has many patrons./r/n     这家商店有许多老顾客。/r/n\n Modern artists have difficulty in finding patrons./r/n     现代艺术家们很难找到赞助人。/r/n
6659	patronage	n. 赞助,光顾,任免权	 We thank you for your patronage./r/n     我们谢谢您的惠顾。/r/n\n The theatre is under the patronage of the Arts Council./r/n     那家剧院得到了艺术委员会的赞助。/r/n
6660	patronize	v. 保护,支援	 The restaurant is patronized by politicians and journalists./r/n     这家饭馆常有政治家和记者光顾./r/n\n He resented the way she patronized him./r/n     她待他那种屈尊纡贵的样子, 他十分愤恨./r/n
6661	patter	n. 急速拍打声,轻快脚步声,行话<br>\nv. 急速地念,滴答地响,发出急速轻拍声	 The falling leaves pattered against the windowpanes./r/n     落叶嗒塔地打在玻璃窗上。/r/n\n They will soon be hearing the patter of tiny feet./r/n     他们很快就会有个小宝宝了。/r/n
6662	pattern	n. 图案,式样,典范<br>\nv. 仿造,模仿	 This cloth has a pattern of blue and white squares./r/n     这种布有蓝白格子的图案。/r/n\n He patterned himself upon a man he admired./r/n     他模仿一个他钦佩的人。/r/n
6663	patty	n. Mathilda,Matilda,Martha 的昵称	 I made some patties for them./r/n     我给他们做了一些小馅饼。/r/n\n Patty dawdled away four years in college./r/n     帕蒂在大学里混了四年。/r/n
6664	paucity	n. 少数,少量,缺乏	
6665	Paul	n. 保罗	 His Holiness Pope John Paul II was welcomed by the crowd./r/n     尊敬的保罗教皇陛下受到人群的欢迎。/r/n\n Peter sat next to Paul on the sofa./r/n     彼得挨著保罗坐在沙发上。/r/n
6666	Paula	波拉(女名)	 Paula turned everything in the house upside-down when she was trying to find her missing necklace./r/n     波拉在寻找她丢失的项链时，把屋子里的所有东西翻得乱七八糟。/r/n
6667	paunch	n. 腹,胃,大肚子<br>\nv. 剖腹,取出内脏	
6668	paunchy	a. 大肚子的	
6669	pauper	n. 贫民,被救济者,穷人	 An impoverished person; a pauper./r/n     穷人贫困的人；贫民/r/n\n He was degraded in their eyes; he had lost caste and station before the very paupers./r/n     他在他们的眼光里是坍台了；他在贫民前面丢了体面和地位。/r/n
6670	pave	v. 铺设,安排,为...铺路	 This agreement will pave the way for a lasting peace./r/n     这个协议将为持久和平铺路。/r/n\n The road was paved with cobblestones./r/n     那条路是用鹅卵石铺成的。/r/n
6671	pavement	n. 人行道	 No parking on the pavement./r/n     人行道/路面上不许停车。/r/n\n Several pedestrians had come to grief on the icy pavement./r/n     几个行人在结冰的人行道上滑倒了./r/n
6672	pavilion	n. 大帐蓬,观众席,楼阁<br>\nv. 搭帐蓬	 The reception was held in a pavilion on the lawn./r/n     招待会在草地中的亭子里举行。/r/n\n Look, the pavilion is high in the sky./r/n     噍，那亭子高高地立在空中呢。/r/n
6673	paving	n. 铺面,铺砌	
6674	paw	n. 手掌,手爪<br>\nv. 以蹄扒地,笨拙地使用,费力地前进	 The kitten has very soft paws./r/n     小猫的爪子很软。/r/n\n The dog was howling its paw was hurt./r/n     那条狗在嗥叫--它的爪子受伤了./r/n
6675	pawky	a. 精明的,活泼的	
6676	pawn	n. 典当,抵押物,人质<br>\nv. 当掉,以发誓	 The painter had to pawn his watch to pay for a meal./r/n     这位画家不得不把表当掉买顿饭吃。/r/n\n We are mere pawns in the struggle for power./r/n     在权力斗争中我们只是一批小卒。/r/n
6677	pawnbroker	n. 典当商,当铺老板	 Having paid off the pawnbroker, I now had my watch out of hock./r/n     偿还了当铺老板的债，我赎回了自己的手表。/r/n\n The shop of a pawnbroker./r/n     当铺开当铺者的店/r/n
6678	payable	a. 可付的,应付的,有利益的	 L/c is payable against your draft./r/n     信用证凭汇票付款。/r/n\n The payment of the goods is payable in instalments./r/n     货款可以分期支付。/r/n
6679	paycheck	n. 工资	
6680	payee	n. 收款人,取款人	
6681	payer	n. 支付者,付款人	 The government should have increased family allowances and clawed it back from rich tax payers./r/n     政府本来应该增加家庭津贴并向富有的纳税人收回这笔支出。/r/n
6682	payment	n. 支付,付款	 They demand prompt payment./r/n     他们要求立即付款。/r/n\n The payment of the goods is payable in instalments./r/n     货款可以分期支付。/r/n
6683	payoff	n. 清算(成果,发工资,放线装置)<br>\na. 得出结果的	
6684	payout	n. 花费,支出	 The company only exists on payouts from the government./r/n     这个公司仅靠政府救济补贴生存。/r/n
6685	PC	(personal computer)个人计算机	 Maintenance of PC is in my element./r/n     我对电脑的维修保养很在行。/r/n
6686	PE	n. 体育	
6687	pea	n. 豌豆	 The sisters are as alike as two peas./r/n     两姐妹长得一模一样。/r/n\n This kind of pea has a long pod./r/n     这种豌豆长着长豆荚。/r/n
6688	peaceable	a. 安静的,和平的	 I was pleased to see how peaceable the horse had become./r/n     我很高兴地看到这匹马变得这么温顺。/r/n
6689	peaceful	a. 安宁的,和平的	 China is a peaceful country./r/n     中国是一个爱好和平的国家。/r/n\n This area is peaceful except for a few skirmishes in the distance./r/n     除了远处的零星的小冲突之外，这个地区是和平的。/r/n
6690	peacefully	ad. 宁静地,安祥地,爱好和平地,喜安静地	 The baby was slumbering peacefully./r/n     孩子睡得正香./r/n\n Now it is generally accepted that the countries with different social systems can coexist peacefully./r/n     ＂现在一般都承认，不同社会制度的国家可以和平共处。＂/r/n
6691	peacetime	n. 平时	
6692	peach	n. 桃子<br>\nv. 揭发,检举	 The beauty of the peach blossom is beyond description./r/n     桃花的美丽难以形容。/r/n\n The fuzz on a peach./r/n     桃子上的绒毛/r/n
6693	peacock	n. (雄)孔雀<br>\nv. 炫耀	 Peacocks are more beautiful than peahens./r/n     雄孔雀要比雌孔雀漂亮。/r/n\n The sparrow is sorry for the peacock at the burden of its tail./r/n     麻雀看见孔雀负担着它的翎尾，替它担忧。/r/n
6694	peahen	n. 雌孔雀	 Peacocks are more beautiful than peahens./r/n     雄孔雀要比雌孔雀漂亮。/r/n
6695	peak	n. 山顶,顶点,帽舌<br>\nv. 到达高点,消瘦,竖起	 Tourism is at its peak in August./r/n     旅游业在八月份达到高峰。/r/n\n The mountain peaks are covered with snow all year./r/n     山顶上终年积雪。/r/n
6696	peaky	a. 憔悴的	
6697	peal	n. 钟声<br>\nv. (使)鸣响	 They burst into peals of laughter./r/n     他们爆发出阵阵笑声。/r/n\n Oh, the108 peal of the temple bell have start./r/n     哦，除夕的钟声开始响了。/r/n
6698	peanut	n. 花生	 He pays his workers peanuts./r/n     他付给他的工人极少的工资。/r/n\n He likes to eat peanut jam./r/n     他喜欢吃花生酱。/r/n
6699	peanuts	pl.花生	 He tossed the peanuts into his mouth one at a time./r/n     他每次将一粒花生扔进嘴里。/r/n\n Peanuts do well in this area./r/n     这一带花生长得很好。/r/n
